label,position,start time,end time,patient_number,description,link
קפה רימון בן יהודה,"31.782049, 35.218575",2020-02-24T13:00:00+02:00,2020-02-24T15:00:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
אושר עד בקניון הדר,"31.753473, 35.212979",2020-02-24T17:00:00+02:00,2020-02-24T19:00:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
Kitchen Station מתחם התחנה,"31.768215, 35.224438",2020-02-25T14:00:00+02:00,2020-02-25T15:00:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
בנק מזרחי טפחות הלני המלכה 9,"31.782627, 35.222703",2020-02-26T09:00:00+02:00,2020-02-26T10:00:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
FOX HOME,"31.753794, 35.213153",2020-02-26T11:30:00+02:00,2020-02-26T14:00:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
אושר עד,"31.753473, 35.212979",2020-02-26T11:30:00+02:00,2020-02-26T14:00:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
צומת ספרים,"31.753468, 35.213720",2020-02-26T11:30:00+02:00,2020-02-26T14:00:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
בית קפה קפית,"31.763622, 35.219289",2020-02-27T11:00:00+02:00,2020-02-27T13:00:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
הר תבור מנזר ההשתנות,"32.686474, 35.392521",2020-02-20T09:30:00+02:00,2020-02-20T10:30:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
כנסיית הבשורה בנצרת,"32.702412, 35.297397",2020-02-20T11:00:00+02:00,2020-02-20T12:00:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
כנסיה יוונית האורתודוקסית בכפר כנא,"32.747189, 35.337806",2020-02-20T12:00:00+02:00,2020-02-20T14:00:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
עין שבע (טבח'ה),"32.874022, 35.549828",2020-02-20T15:00:00+02:00,2020-02-20T15:30:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
ירדנית,"32.717531, 35.569652",2020-02-20T16:30:00+02:00,2020-02-20T17:30:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
עין בוקק – ים המלח,"31.201990, 35.362779",2020-02-21T07:30:00+02:00,2020-02-21T08:00:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
מסעדת יוטבתה,"29.894359, 35.064305",2020-02-21T10:30:00+02:00,2020-02-21T11:00:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
המצפה התת ימי אילת,"29.504141, 34.919178",2020-02-23T15:30:00+02:00,2020-02-23T17:30:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
מסעדת יוטבתה,"29.893532, 35.063005",2020-02-23T18:00:00+02:00,2020-02-23T18:30:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
מנזר מרסבה במדבר יהודה,"31.704859, 35.3311",2020-02-24T08:00:00+02:00,2020-02-23T10:30:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
קבר מרים וכנסיית כל העמים,"31.780098, 35.23935",2020-02-24T13:30:00+02:00,2020-02-23T17:00:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
מנזר סנט ג'ורג' (דיר מאר ג'ריס),"31.777244, 35.228114",2020-02-25T08:00:00+02:00,2020-02-25T10:00:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
כנסיית אורתודוקסית של מרתא ומרים באלעיזריה,"31.780241, 35.232787",2020-02-25T10:30:00+02:00,2020-02-25T11:45:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
מנזר מרסבא,"31.716049, 35.330446",2020-02-25T12:30:00+02:00,2020-02-25T14:30:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
דיר אל קרנטל (מנזר קרנטל),"31.87439, 35.429958",2020-02-26T11:00:00+02:00,2020-02-26T12:30:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
כנסיית זקא,"31.820261, 35.501139",2020-02-26T12:30:00+02:00,2020-02-26T13:00:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
דיר חג'אלה ליד גשר אלנבי,"31.820261, 35.501139",2020-02-26T13:10:00+02:00,2020-02-26T14:20:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
